current_filename,subspecialty,extracted_author,extracted_year,extracted_journal,extracted_title,suggested_filename,confidence,confidence_level,status
"BMAC -A_Prospective_Comparison_of_3_Approved_Systems_for.7.pdf",TRAUMA,"Lane",2014,"Comparison","of 3 Approved Systems for.7","2014_Lane_Comparison_Of 3 Approved Systems For.7",1.00,high,pending
"BMJ hopley2010 THA vs hemi functional outcomes .pdf",TRAUMA,"",,"BMJ","BMJ hopley2010 THA vs hemi functional outcomes ","Unknown_Unknown_BMJ_Bmj Hopley2010 Tha vs Hemi Functional Outcomes",0.50,medium,pending
"boero2015 femoral bone loss ex fix and locking plate.pdf",TRAUMA,"",2015,"CORR","boero2015 femoral bone loss ex fix and locking plate","2015_Unknown_CORR_Boero2015 Femoral Bone Loss Ex Fix and Locking",0.75,high,pending
"Bone_Graft_Substitution_and_Augmentation.8.pdf",TRAUMA,"Bone",2015,"Substitution","and Augmentation.8","2015_Bone_Substitution_And Augmentation.8",1.00,high,pending
"boraiah spiral distal third tibial shaft and posterior mal .pdf",TRAUMA,"Gardner",2008,"CORR","boraiah spiral distal third tibial shaft and posterior mal ","2008_Gardner_CORR_Boraiah Spiral Distal Third Tibial Shaft and",1.00,high,pending
"bowles2018.pdf",TRAUMA,"Bowles",2018,"JOT","bowles2018","2018_Bowles_JOT_Bowles2018",1.00,high,pending
"Brendon_2023_Injury_Management_of_Pediatric_and_Adolescent_Sublime.pdf",TRAUMA,"Brendon",2023,"Injury","Management of Pediatric and Adolescent Sublime","2023_Brendon_Injury_Management of Pediatric and Adolescent Sublime",1.00,high,pending
"Calcific Myonecrosis Case Report copy.pdf",TRAUMA,"",2019,"","Calcific Myonecrosis Case Report copy","2019_Unknown_Unknown_Calcific Myonecrosis Case Report Copy",0.50,medium,pending
"calcium phosphate .pdf",TRAUMA,"",2003,"JBJS","calcium phosphate ","2003_Unknown_JBJS_Calcium Phosphate",0.75,high,pending
"Can we trust intraoperative culture results in nonunions.pdf",TRAUMA,"Palmer",2013,"JOT","Can we trust intraoperative culture results in nonunions","2013_Palmer_JOT_Can We Trust Intraoperative Culture Results in",1.00,high,pending
"Can_You_Believe_Your_Patients_If_They_Say_They.3.pdf",TRAUMA,"Can",2020,"Believe","Your Patients If They Say They.3","2020_Can_Believe_Your Patients If They Say They.3",1.00,high,pending
"capo volar-ulnar approach.pdf",TRAUMA,"Hinds",2016,"JHS","capo volar ulnar approach","2016_Hinds_JHS_Capo Volar Ulnar Approach",1.00,high,pending
"cavallero2018.pdf",TRAUMA,"Virkus",2018,"JOT","cavallero2018","2018_Virkus_JOT_Cavallero2018",1.00,high,pending
"Ch. 20 Fractures of Forearm and Distal Radius.pdf",TRAUMA,"",,"","Ch. 20 Fractures of Forearm and Distal Radius","Unknown_Unknown_Unknown_Ch. 20 Fractures of Forearm and Distal Radius",0.25,low,pending
"Chapter 21 Chronic Osteomyelitis.pdf",TRAUMA,"Rodner",,"","Chapter 21 Chronic Osteomyelitis","Unknown_Rodner_Unknown_Chapter 21 Chronic Osteomyelitis",0.50,medium,pending
"Chapter 41 Diaphyseal Fractures of the Forearm.pdf",TRAUMA,"Jupiter",,"","Chapter 41 Diaphyseal Fractures of the Forearm","Unknown_Jupiter_Unknown_Chapter 41 Diaphyseal Fractures of the Forearm",0.50,medium,pending
"Chapter 43 Fractures of the Humeral Shaft.pdf",TRAUMA,"Schemitsch",,"","Chapter 43 Fractures of the Humeral Shaft","Unknown_Schemitsch_Unknown_Chapter 43 Fractures of the Humeral Shaft",0.50,medium,pending
"Chapter 5 Locking Plates Development, Biomechanics, and Clinical Application.pdf",TRAUMA,"Wagner",,"","Chapter 5 Locking Plates Development, Biomechanics, and Clinical Application","Unknown_Wagner_Unknown_Chapter 5 Locking Plates Development Biomechanics",0.50,medium,pending
"Chapter 61 Foot Injuries.pdf",TRAUMA,"Easley",,"","Chapter 61 Foot Injuries","Unknown_Easley_Unknown_Chapter 61 Foot Injuries",0.50,medium,pending
"Chapter 62 Post-traumatic Reconstruction of the Foot and Ankle.pdf",TRAUMA,"",,"CORR","Chapter 62 Post traumatic Reconstruction of the Foot and Ankle","Unknown_Unknown_CORR_Chapter 62 Post Traumatic Reconstruction of the",0.50,medium,pending
"Chapter 65 Amputations in Trauma.pdf",TRAUMA,"Pinzur",,"","Chapter 65 Amputations in Trauma","Unknown_Pinzur_Unknown_Chapter 65 Amputations in Trauma",0.50,medium,pending
"Chen JOT - Ulnar n transp in distal humerus fx.pdf",TRAUMA,"Chen",,"JOT","Chen JOT   Ulnar n transp in distal humerus fx","Unknown_Chen_JOT_Chen Jot Ulnar N Transp in Distal Humerus Fx",0.75,high,pending
"ChineseMed 2012 femoral nail plate nonunion.pdf",TRAUMA,"",2003,"CORR","ChineseMed 2012 femoral nail plate nonunion","2003_Unknown_CORR_Chinese Med 2012 Femoral Nail Plate Nonunion",0.75,high,pending
"Clamp assisted reduction subtrochanteric fx.pdf",TRAUMA,"Sagi",2010,"JBJS","Clamp assisted reduction subtrochanteric fx","2010_Sagi_JBJS_Clamp Assisted Reduction Subtrochanteric Fx",1.00,high,pending
"clin biomech gugala 2011 femoral shaft rotation malrotation .pdf",TRAUMA,"",2010,"CORR","clin biomech gugala 2011 femoral shaft rotation malrotation ","2010_Unknown_CORR_Clin Biomech Gugala 2011 Femoral Shaft Rotation",0.75,high,pending
"closing wedge with shortening.pdf",TRAUMA,"",2004,"JHS","closing wedge with shortening","2004_Unknown_JHS_Closing Wedge with Shortening",0.75,high,pending
"CME Pages & Credit Instructions.pdf",TRAUMA,"",2014,"","CME Pages & Credit Instructions","2014_Unknown_Unknown_Cme Pages and Credit Instructions",0.50,medium,pending
"CME Program Evaluation Form.pdf",TRAUMA,"",2014,"","CME Program Evaluation Form","2014_Unknown_Unknown_Cme Program Evaluation Form",0.50,medium,pending
"cohn2017 operate through wafarin.pdf",TRAUMA,"Levack",2016,"JOT","cohn2017 operate through wafarin","2016_Levack_JOT_Cohn2017 Operate through Wafarin",1.00,high,pending
"CommonlyMissedInjuriesinPolytrauma.pdf",TRAUMA,"Stevens",2018,"JBJS","CommonlyMissedInjuriesinPolytrauma","2018_Stevens_JBJS_Commonly Missed Injuries in Polytrauma",1.00,high,pending
"Comparison_of_Femoral_Head_Rotation_and_Varus.2.pdf",TRAUMA,"Comparison",2016,"Femoral","Head Rotation and Varus.2","2016_Comparison_Femoral_Head Rotation and Varus.2",1.00,high,pending
"Complication Risk Factors ORIF.pdf",TRAUMA,"Jiang",2000,"JHS","Complication Risk Factors ORIF","2000_Jiang_JHS_Complication Risk Factors Orif",1.00,high,pending
"compression plate humerus.pdf",TRAUMA,"McCormack",2000,"CORR","compression plate humerus","2000_McCormack_CORR_Compression Plate Humerus",1.00,high,pending
"Contributing_Factors_to_Surgical_Site_Infections.5.pdf",TRAUMA,"Contributing",2012,"to","Surgical Site Infections.5","2012_Contributing_to_Surgical Site Infections.5",1.00,high,pending
"Controversies_in_Intramedullary_Fixation_for.1.pdf",TRAUMA,"Controversies",2016,"Intramedullary","Fixation for.1","2016_Controversies_Intramedullary_Fixation For.1",1.00,high,pending
"CoronalPlanePartialArticularFxofDistalHumerus.pdf",TRAUMA,"Ruchelsman",2008,"JAAOS","CoronalPlanePartialArticularFxofDistalHumerus","2008_Ruchelsman_JAAOS_Coronal Plane Partial Articular Fx of Distal",1.00,high,pending
"CORR 1980 Letournel - Acetabulum fxs.pdf",TRAUMA,"",1979,"CORR","CORR 1980 Letournel   Acetabulum fxs","1979_Unknown_CORR_Corr 1980 Letournel Acetabulum Fxs",0.75,high,pending
"CORR 1982 bryan1982 Bryan and Morrey posterior approach to the elbow - original article .pdf",TRAUMA,"",1980,"CORR","CORR 1982 bryan1982 Bryan and Morrey posterior approach to the elbow   original article ","1980_Unknown_CORR_Corr 1982 Bryan1982 Bryan and Morrey Posterior",0.75,high,pending
"CORR 1993 Burdeaux medial  calcaneus approach.pdf",TRAUMA,"",,"CORR","CORR 1993 Burdeaux medial  calcaneus approach","Unknown_Unknown_CORR_Corr 1993 Burdeaux Medial Calcaneus Approach",0.50,medium,pending
"CORR 1993 Calcaneus anatomy.pdf",TRAUMA,"",,"CORR","CORR 1993 Calcaneus anatomy","Unknown_Unknown_CORR_Corr 1993 Calcaneus Anatomy",0.50,medium,pending
"CORR 1993 Sanders calcaneus original article.pdf",TRAUMA,"",,"CORR","CORR 1993 Sanders calcaneus original article","Unknown_Unknown_CORR_Corr 1993 Sanders Calcaneus Original Article",0.50,medium,pending
"CORR 1993 Sanders Classification.pdf",TRAUMA,"",,"CORR","CORR 1993 Sanders Classification","Unknown_Unknown_CORR_Corr 1993 Sanders Classification",0.50,medium,pending
"CORR 1994 honkonen Indications for surgical treatment of tibial condyle fractures.pdf",TRAUMA,"Honkonen",1994,"CORR","CORR 1994 honkonen Indications for surgical treatment of tibial condyle fractures","1994_Honkonen_CORR_Corr 1994 Honkonen Indications for Surgical",1.00,high,pending
"CORR 1995 Sarmiento closed tibial fracture bracing.pdf",TRAUMA,"",,"CORR","CORR 1995 Sarmiento closed tibial fracture bracing","Unknown_Unknown_CORR_Corr 1995 Sarmiento Closed Tibial Fracture Bracing",0.50,medium,pending
"CORR 1996 semiextended tibial nailing.pdf",TRAUMA,"",1996,"CORR","CORR 1996 semiextended tibial nailing","1996_Unknown_CORR_Corr 1996 Semiextended Tibial Nailing",0.75,high,pending
"CORR 1996 semiextended tibial nailing_1.pdf",TRAUMA,"CORR 1996 semiextended tibial nailing",1996,"CORR","Semiextended Position","1996_CORR 1996 semiextended tibial nailing_CORR_Semiextended Position",1.00,high,pending
"CORR 2000 Ward ,  iliocapsularis anatomy .pdf",TRAUMA,"Lausanne",1999,"CORR","CORR 2000 Ward ,  iliocapsularis anatomy ","1999_Lausanne_CORR_Corr 2000 Ward Iliocapsularis Anatomy",1.00,high,pending
"CORR 2004 Parvizi, proximal femur replacemnt for fracture .pdf",TRAUMA,"Sim",2004,"CORR","CORR 2004 Parvizi, proximal femur replacemnt for fracture ","2004_Sim_CORR_Corr 2004 Parvizi Proximal Femur Replacemnt for",1.00,high,pending
"CORR 2010 leg and foot compartment syndrome.pdf",TRAUMA,"Hannover",2009,"CORR","CORR 2010 leg and foot compartment syndrome","2009_Hannover_CORR_Corr 2010 Leg and Foot Compartment Syndrome",1.00,high,pending
"CORR 2012 Hemi vs THA FNF.pdf",TRAUMA,"",2008,"CORR","CORR 2012 Hemi vs THA FNF","2008_Unknown_CORR_Corr 2012 Hemi vs Tha Fnf",0.75,high,pending
"CORR 2013 taperd fluted stems for B2 B3.pdf",TRAUMA,"Garbuz",2013,"CORR","CORR 2013 taperd fluted stems for B2 B3","2013_Garbuz_CORR_Corr 2013 Taperd Fluted Stems for B2 B3",1.00,high,pending
"CORR 2016 predicting tibial nonunion.pdf",TRAUMA,"Castillo",2007,"CORR","CORR 2016 predicting tibial nonunion","2007_Castillo_CORR_Corr 2016 Predicting Tibial Nonunion",1.00,high,pending
"CORR, 2013, Carofino, neer classification .pdf",TRAUMA,"Carofino",1953,"JSES","CORR, 2013, Carofino, neer classification ","1953_Carofino_JSES_Corr 2013 Carofino Neer Classification",1.00,high,pending
"CORR, 2014, yoon, Is ORIF superior to nonoperative treatment in isolated displaced partial articular fractures of the radial head.pdf",TRAUMA,"",2014,"CORR","CORR, 2014, yoon, Is ORIF superior to nonoperative treatment in isolated displaced partial articular fractures of the radial head","2014_Unknown_CORR_Corr 2014 Yoon Is Orif Superior to Nonoperative",0.75,high,pending
"Costs_and_Complications_of_Single_Stage_Fixation.3.pdf",TRAUMA,"Costs",2018,"Complications","of Single Stage Fixation.3","2018_Costs_Complications_Of Single Stage Fixation.3",1.00,high,pending
"Critical_Size_Bone_Defects__Is_There_a_Consensus.2.pdf",TRAUMA,"Critical",2018,"Bone","Defects  Is There a Consensus.2","2018_Critical_Bone_Defects Is There a Consensus.2",1.00,high,pending
"davda2018 rail and nail femoral nonunion.pdf",TRAUMA,"London",2018,"BJJ","davda2018 rail and nail femoral nonunion","2018_London_BJJ_Davda2018 Rail and Nail Femoral Nonunion",1.00,high,pending
"Denis_Sacrum.pdf",TRAUMA,"Denis",,"","Sacrum","Unknown_Denis_Unknown_Sacrum",0.25,low,pending
"Diagnosis_and_Management_of_Ipsilateral_Femoral.3.pdf",TRAUMA,"Diagnosis",2018,"Management","of Ipsilateral Femoral.3","2018_Diagnosis_Management_Of Ipsilateral Femoral.3",1.00,high,pending
"distal clavicle .pdf",TRAUMA,"Pandya",2012,"JAAOS","distal clavicle ","2012_Pandya_JAAOS_Distal Clavicle",1.00,high,pending
"distal radius malunion Malone.pdf",TRAUMA,"Malone",2006,"JHS","distal radius malunion Malone","2006_Malone_JHS_Distal Radius Malunion Malone",1.00,high,pending
"distal radius malunion.pdf",TRAUMA,"Hospital",2013,"CORR","distal radius malunion","2013_Hospital_CORR_Distal Radius Malunion",1.00,high,pending
"DistalFemurFxs.pdf",TRAUMA,"",2010,"JAAOS","DistalFemurFxs","2010_Unknown_JAAOS_Distal Femur Fxs",0.75,high,pending
"DistalFibulaMalunions.pdf",TRAUMA,"",2009,"JAAOS","DistalFibulaMalunions","2009_Unknown_JAAOS_Distal Fibula Malunions",0.75,high,pending
"Distal_Femur_Replacement_versus_Open_Reduction_and.98037.pdf",TRAUMA,"Distal",2021,"Replacement","versus Open Reduction and.98037","2021_Distal_Replacement_Versus Open Reduction And.98037",1.00,high,pending
"Distal_Femur_Replacement_Versus_Surgical_Fixation.3 (1).pdf",TRAUMA,"Distal",2020,"Replacement","Versus Surgical Fixation.3 (1)","2020_Distal_Replacement_Versus Surgical Fixation.3 1",1.00,high,pending
"Distal_Humeral_Fractures_in_Adults.11.pdf",TRAUMA,"Distal",2022,"Fractures","in Adults.11","2022_Distal_Fractures_In Adults.11",1.00,high,pending
"Distraction Plating distal radius.pdf",TRAUMA,"Elfar",,"JHS","Distraction Plating distal radius","Unknown_Elfar_JHS_Distraction Plating Distal Radius",0.75,high,pending
"dorsal opening wedge no graft.pdf",TRAUMA,"",2014,"CORR","dorsal opening wedge no graft","2014_Unknown_CORR_Dorsal Opening Wedge No Graft",0.75,high,pending
"Dorsal Tangential View.pdf",TRAUMA,"",2014,"JHS","Dorsal Tangential View","2014_Unknown_JHS_Dorsal Tangential View",0.75,high,pending
"dual plate mini frag clavicle .pdf",TRAUMA,"DeBaun",2019,"JOT","dual plate mini frag clavicle ","2019_DeBaun_JOT_Dual Plate Mini Frag Clavicle",1.00,high,pending
"dunkel2013 Short duration of antibiotic prophylaxis in open fractures does not enhance risk of subsequent infection.pdf",TRAUMA,"Geneva",2013,"BJJ","dunkel2013 Short duration of antibiotic prophylaxis in open fractures does not enhance risk of subsequent infection","2013_Geneva_BJJ_Dunkel2013 Short Duration of Antibiotic",1.00,high,pending
"DxofAcuteCompartmentSyndrome.pdf",TRAUMA,"McQueen",2017,"JBJS","DxofAcuteCompartmentSyndrome","2017_McQueen_JBJS_Dx of Acute Compartment Syndrome",1.00,high,pending
"Early results of percutaneous iliosacral screws placed with the patient in the supine position.pdf",TRAUMA,"",,"","Early results of percutaneous iliosacral screws placed with the patient in the supine position","Unknown_Unknown_Unknown_Early Results of Percutaneous Iliosacral Screws",0.25,low,pending
"Early_Revision_Surgery_for_Tibial_Plateau.8.pdf",TRAUMA,"Early",2018,"Surgery","for Tibial Plateau.8","2018_Early_Surgery_For Tibial Plateau.8",1.00,high,pending
"Easily Missed Fractures of the UE.pdf",TRAUMA,"ScottTyson",2013,"CORR","Easily Missed Fractures of the UE","2013_ScottTyson_CORR_Easily Missed Fractures of the Ue",1.00,high,pending
"Effects_of_Episodic_Alcohol_Exposure_on_BMP2.5.pdf",TRAUMA,"Effects",2018,"Episodic","Alcohol Exposure on BMP2.5","2018_Effects_Episodic_Alcohol Exposure on Bmp2.5",1.00,high,pending
"Egol--4part PHF-ORIF Howard Rosen2014.pdf",TRAUMA,"Egol",,"","Egol  4part PHF ORIF Howard Rosen2014","Unknown_Egol_Unknown_Egol 4part Phf Orif Howard Rosen2014",0.50,medium,pending
"EJT 2013 Sun_Article_AnatomicalEvaluationOfTheModified posterior lateral approach to tibial plateau .pdf",TRAUMA,"Hospital",2012,"","Article AnatomicalEvaluationOfTheModified posterior lateral approach to tibial plateau ","2012_Hospital_Unknown_Article Anatomical Evaluation of the Modified",0.75,high,pending
"eor- VTE ppx in ortho .pdf",TRAUMA,"",2018,"","eor  VTE ppx in ortho ","2018_Unknown_Unknown_Eor Vte Ppx in Ortho",0.50,medium,pending
"EurJOrth Liporace Capo complex proximal ulna fractures.pdf",TRAUMA,"",2015,"","EurJOrth Liporace Capo complex proximal ulna fractures","2015_Unknown_Unknown_Eur J Orth Liporace Capo Complex Proximal Ulna",0.50,medium,pending
"EurPhysRehad 2014 Amputation in SCI with ulcers.pdf",TRAUMA,"",,"CORR","EurPhysRehad 2014 Amputation in SCI with ulcers","Unknown_Unknown_CORR_Eur Phys Rehad 2014 Amputation in Sci with Ulcers",0.50,medium,pending
"Evans-Providence2010_Article_CaseReportFresh-StoredOsteocho.pdf",TRAUMA,"Evans",2009,"CORR","Article CaseReportFresh StoredOsteocho","2009_Evans_CORR_Article Case Report Fresh Stored Osteocho",1.00,high,pending
"Evans_1957_Spine_of_the_Royal_Society_of_Medicine.pdf",TRAUMA,"Evans",1957,"Spine","of the Royal Society of Medicine","1957_Evans_Spine_Of the Royal Society of Medicine",1.00,high,pending
"Evolution_of_Orthopaedic_Reconstructive_Care.18.pdf",TRAUMA,"Evolution",2012,"Orthopaedic","Reconstructive Care.18","2012_Evolution_Orthopaedic_Reconstructive Care.18",1.00,high,pending
"ExchangeTibialNailing.pdf",TRAUMA,"Brinker",2007,"JBJS","ExchangeTibialNailing","2007_Brinker_JBJS_Exchange Tibial Nailing",1.00,high,pending
"ExtraperiostealPlatingofPronationAbductionAnkleFxs.pdf",TRAUMA,"",2007,"JAAOS","ExtraperiostealPlatingofPronationAbductionAnkleFxs","2007_Unknown_JAAOS_Extraperiosteal Plating of Pronation Abduction",0.75,high,pending
"FAI 2009 sustentaculum tali approach.pdf",TRAUMA,"Nork",2009,"FAI","FAI 2009 sustentaculum tali approach","2009_Nork_FAI_Fai 2009 Sustentaculum Tali Approach",1.00,high,pending
"FAI 2013 Inidcations for calcaneus hardware removal.pdf",TRAUMA,"Amsterdam",2000,"FAI","FAI 2013 Inidcations for calcaneus hardware removal","2000_Amsterdam_FAI_Fai 2013 Inidcations for Calcaneus Hardware",1.00,high,pending
"Faith_trial.pdf",TRAUMA,"Faith",2008,"Lancet","Fracture fixation in the operative management of hip","2008_Faith_Lancet_Fracture Fixation in the Operative Management of",1.00,high,pending
"femoral head arterial anatomy .pdf",TRAUMA,"",,"","femoral head arterial anatomy ","Unknown_Unknown_Unknown_Femoral Head Arterial Anatomy",0.25,low,pending
"FemoralHeadFxs_JBJSReviews.pdf",TRAUMA,"Marecek",2015,"CORR","JBJSReviews","2015_Marecek_CORR_Jbjs Reviews",1.00,high,pending
"FemoralNeckFxs.pdf",TRAUMA,"Florschutz",2015,"JOT","FemoralNeckFxs","2015_Florschutz_JOT_Femoral Neck Fxs",1.00,high,pending
"FEMUR SHAFT MALROTATION .pdf",TRAUMA,"",2011,"JAAOS","FEMUR SHAFT MALROTATION ","2011_Unknown_JAAOS_Femur Shaft Malrotation",0.75,high,pending
"First year in academic practice Liporace.pdf",TRAUMA,"Liporace",,"JAAOS","First year in academic practice Liporace","Unknown_Liporace_JAAOS_First Year in Academic Practice Liporace",0.75,high,pending
"Foot ankle 1980 Jahss classification first MTP.pdf",TRAUMA,"Jahss",1980,"FAI","Foot ankle 1980 Jahss classification first MTP","1980_Jahss_FAI_Foot Ankle 1980 Jahss Classification First Mtp",1.00,high,pending
"Fracture-Dislocation of the Humeral Head into Retroperitoneum.pdf",TRAUMA,"",1997,"JBJS","Fracture Dislocation of the Humeral Head into Retroperitoneum","1997_Unknown_JBJS_Fracture Dislocation of the Humeral Head into",0.75,high,pending
"FracturesofRadialHeadandNeck.pdf",TRAUMA,"Tejwani",2007,"JAAOS","FracturesofRadialHeadandNeck","2007_Tejwani_JAAOS_Fractures of Radial Head and Neck",1.00,high,pending
"Fracture_Reduction_Quality_Is_More_Important_Than.18.pdf",TRAUMA,"Fracture",2020,"Quality","Is More Important Than.18","2020_Fracture_Quality_Is More Important Than.18",1.00,high,pending
"FragilityFracturesPelvis.pdf",TRAUMA,"Traumatology",2017,"JBJS","FragilityFracturesPelvis","2017_Traumatology_JBJS_Fragility Fractures Pelvis",1.00,high,pending
"Gage_2024_Injury_Comparison_of_clinical_outcomes_and_complications_in_2-part_vs._3-_or.pdf",TRAUMA,"Gage",2024,"Injury","Comparison of clinical outcomes and complications in 2 part vs. 3  or","2024_Gage_Injury_Comparison of Clinical Outcomes and Complications",1.00,high,pending
"gardner2007.pdf",TRAUMA,"Gardner",,"JOT","gardner2007","Unknown_Gardner_JOT_Gardner2007",0.75,high,pending
"georgiadis1994 posterio medial plateau .pdf",TRAUMA,"",1994,"","georgiadis1994 posterio medial plateau ","1994_Unknown_Unknown_Georgiadis1994 Posterio Medial Plateau",0.50,medium,pending
"Geriatric ex-fix vs. ORIF radius.pdf",TRAUMA,"Elfar",,"CORR","Geriatric ex fix vs. ORIF radius","Unknown_Elfar_CORR_Geriatric Ex Fix vs. Orif Radius",0.75,high,pending
"girard2013 locking plate distraction osteogenesis .pdf",TRAUMA,"Girard",2013,"JOT","girard2013 locking plate distraction osteogenesis ","2013_Girard_JOT_Girard2013 Locking Plate Distraction Osteogenesis",1.00,high,pending
"Gordon_2008_JSES_Treatment_of_fractures_adjacent_to_humeral_prostheses.pdf",TRAUMA,"Gordon",2008,"JSES","Treatment of fractures adjacent to humeral prostheses","2008_Gordon_JSES_Treatment of Fractures Adjacent to Humeral",1.00,high,pending
"Gresiberg--Notsostraight.pdf",TRAUMA,"",,"","Gresiberg  Notsostraight","Unknown_Unknown_Unknown_Gresiberg Notsostraight",0.25,low,pending
"GSW_2025_Injury_©_The_Author(s)_2025.pdf",TRAUMA,"GSW",2025,"Injury","© The Author(s) 2025","2025_GSW_Injury_© the Authors 2025",1.00,high,pending
"HandClin 2014 Capo Exposures Humerus.pdf",TRAUMA,"Capo",,"HandClin","HandClin 2014 Capo Exposures Humerus","Unknown_Capo_HandClin_H and Clin 2014 Capo Exposures Humerus",0.75,high,pending
"HandClin 2014 shoulder upper humerus exposures.pdf",TRAUMA,"",,"HandClin","HandClin 2014 shoulder upper humerus exposures","Unknown_Unknown_HandClin_H and Clin 2014 Shoulder Upper Humerus Exposures",0.50,medium,pending
"hemi for prox humerus .pdf",TRAUMA,"However",2012,"JAAOS","hemi for prox humerus ","2012_However_JAAOS_Hemi for Prox Humerus",1.00,high,pending
"Hemiarthroplasty vs. reverse shoulder arthroplasty meta-analysis.pdf",TRAUMA,"Shukla",2017,"JSES","Hemiarthroplasty vs. reverse shoulder arthroplasty meta analysis","2017_Shukla_JSES_Hemiarthroplasty vs. Reverse Shoulder",1.00,high,pending
"hernigou2013 small syringe BMAC.pdf",TRAUMA,"",2013,"","hernigou2013 small syringe BMAC","2013_Unknown_Unknown_Hernigou2013 Small Syringe Bmac",0.50,medium,pending
"Heterotopic Ossification After Surgery For Fractures And Fracture-dislocations Involving The Proximal Aspect Of The Radius Or Ulna.pdf",TRAUMA,"Foruria",2004,"JBJS","Heterotopic Ossification After Surgery For Fractures And Fracture dislocations Involving The Proximal Aspect Of The Radius Or Ulna","2004_Foruria_JBJS_Heterotopic Ossification after Surgery for",1.00,high,pending
"Hiesterman_IMNProximalTibia.pdf",TRAUMA,"Hiesterman",2011,"JAAOS","IMNProximalTibia","2011_Hiesterman_JAAOS_Imn Proximal Tibia",1.00,high,pending
"high_complication_rate_after_percutaneous_screw.3.pdf",TRAUMA,"Gaski",2023,"rate","after percutaneous screw.3","2023_Gaski_rate_After Percutaneous Screw.3",1.00,high,pending
"Hip and pelvis .pdf",TRAUMA,"",2016,"","Hip and pelvis ","2016_Unknown_Unknown_Hip and Pelvis",0.50,medium,pending
"hip fracture anticoagulation .pdf",TRAUMA,"",2017,"CORR","hip fracture anticoagulation ","2017_Unknown_CORR_Hip Fracture Anticoagulation",0.75,high,pending
"history of IMN .pdf",TRAUMA,"Bong",,"CORR","history of IMN ","Unknown_Bong_CORR_History of Imn",0.75,high,pending
"Howard Rosen 2014 Agenda.pdf",TRAUMA,"Friday",2014,"","Howard Rosen 2014 Agenda","2014_Friday_Unknown_Howard Rosen 2014 Agenda",0.75,high,pending
"Howard Rosen 2014 Faculty.pdf",TRAUMA,"Egol",,"","Howard Rosen 2014 Faculty","Unknown_Egol_Unknown_Howard Rosen 2014 Faculty",0.50,medium,pending
"HSI 2016 DOACs - periop .pdf",TRAUMA,"",2016,"CORR","HSI 2016 DOACs   periop ","2016_Unknown_CORR_Hsi 2016 Doa Cs Periop",0.75,high,pending
"HumeralShaftFxs_JBJSReviews.pdf",TRAUMA,"Nashville",2015,"JBJS","JBJSReviews","2015_Nashville_JBJS_Jbjs Reviews",1.00,high,pending
"Humeral_2022_Unknown_SURGICAL_MANAGEMENT_OF_MASSIVE_IRREPARABLE_CUFF_TEARS_(J_SANCHEZ-SOTELO,_SECTION.pdf",TRAUMA,"Humeral",2022,"CORR","SURGICAL MANAGEMENT OF MASSIVE IRREPARABLE CUFF TEARS (J SANCHEZ SOTELO, SECTION","2022_Humeral_CORR_Surgical Management of Massive Irreparable Cuff",1.00,high,pending
"hutson2010.pdf",TRAUMA,"Oeltjen",2010,"AnnPlastSurg","hutson2010","2010_Oeltjen_AnnPlastSurg_Hutson2010",1.00,high,pending
"IlioinguinalApproach.pdf",TRAUMA,"",2019,"JOT","IlioinguinalApproach","2019_Unknown_JOT_Ilioinguinal Approach",0.75,high,pending
"IMN tibial stress fx .pdf",TRAUMA,"Younas",2005,"AJSM","IMN tibial stress fx ","2005_Younas_AJSM_Imn Tibial Stress Fx",1.00,high,pending
"Impaction_Bone_Grafting_and_Valgus_Osteotomy__A femoral neck.pdf",TRAUMA,"Impaction",2019,"Grafting","and Valgus Osteotomy  A femoral neck","2019_Impaction_Grafting_And Valgus Osteotomy a Femoral Neck",1.00,high,pending
"Induced_Membrane_Technique_for_Reconstruction_To.3.pdf",TRAUMA,"Induced",2012,"Technique","for Reconstruction To.3","2012_Induced_Technique_For Reconstruction To.3",1.00,high,pending
"Induced_Membrane_Technique_for_Reconstruction_To.3_1.pdf",TRAUMA,"Induced",2012,"Technique","for Reconstruction To.3 1","2012_Induced_Technique_For Reconstruction To.3 1",1.00,high,pending
"Infection_and_Complications_After_Low_velocity.8.pdf",TRAUMA,"Infection",2017,"Complications","After Low velocity.8","2017_Infection_Complications_After Low Velocity.8",1.00,high,pending
"Infection_in_Orthopaedics.5.pdf",TRAUMA,"Infection",2015,"JOT","in Orthopaedics.5","2015_Infection_JOT_In Orthopaedics.5",1.00,high,pending
"Injury 2000 intradermal nylons closure .pdf",TRAUMA,"",1999,"CORR","Injury 2000 intradermal nylons closure ","1999_Unknown_CORR_Injury 2000 Intradermal Nylons Closure",0.75,high,pending
"Injury 2002 bonnaire2002 ORIF femoral neck fracture.pdf",TRAUMA,"",2002,"","Injury 2002 bonnaire2002 ORIF femoral neck fracture","2002_Unknown_Unknown_Injury 2002 Bonnaire2002 Orif Femoral Neck",0.50,medium,pending
"Injury 2004 selvan cannulated screw placement femoral neck fractures .pdf",TRAUMA,"Eaglescliffe",2003,"CORR","Injury 2004 selvan cannulated screw placement femoral neck fractures ","2003_Eaglescliffe_CORR_Injury 2004 Selvan Cannulated Screw Placement",1.00,high,pending
